Approved by,Barcode,Brand,Building,CAS,Container type,Date in,Expire,Group,Hazard Classification,Region specific hazard code(s),Hazard code(s),Hazard Label(s),Laboratory,Location,Location path,Lot Number,Product name,NFPA Label,Note (Item),Note (Product),Responsible person,Packaging group,PPE,Precautionary statement(s),Product number,Proposed location,Purity (%),Quantity,Net Quantity,Quantity unit,Current quantity (Net),Normalized quantity,Normalized current quantity,Normalized unit,Hazard Signal Word,Site,State,Storage temperature,Sublocation,Tags,Transport hazard class 1,Transport hazard class 2,Transport hazard class 3,UN number,German Water Hazard Class (WGK),Molecular weight,InChI,CID,Iupac Name,Lagerklasse (TRGS 510),Component - CAS,Component - name,Component - concentration,Component - CAS,Component - name,Component - concentration,Component - CAS,Component - name,Component - concentration,Component - CAS,Component - name,Component - concentration
,3613,TCI,Materials Innovation Factory,1066-54-2,,17/11/2017,,Cooper Group,Flammable liquids (Category 2);Skin corrosion/irritation (Category 2),,H225;H315,GHS_02;GHS_07,Synthetic Laboratory,Fridge 3,Fridge 3,,Trimethylsilylacetylene,,,,Marc Little (malittle),I,,,T1239,,,25ml,25,ml,,25,,ml,Danger,,Liquid,,,,3,,,1993,,98.22100067,"InChI=1S/C5H10Si/c1-5-6(2,3)4/h1H,2-4H3",66111,,,,,,,,,,,,,,
,7721,Aldrich,Materials Innovation Factory,1066-54-2,,13/08/2018,,Cooper Group,No data available,,,,Synthetic Laboratory,FC10 (White cupboard),FC10 (White cupboard),BCBMO395v,Ethynyltrimethylsilane,,,(vapour pressure at 50 °c more than 110 kpa),Haofan Yang (hyang),II,,,218170,,98%,25 g,25,g,,25,,g,,,Liquid,FRIDGE,,,3,,,1993,,98.22100067,"InChI=1S/C5H10Si/c1-5-6(2,3)4/h1H,2-4H3",66111,,,,,,,,,,,,,,
,8936,TCI,Materials Innovation Factory,1066-54-2,,06/08/2019,,Cooper Group,Flammable liquids (Category 2);Skin corrosion/irritation (Category 2),,H225;H315,GHS_02;GHS_07,Synthetic Laboratory,Fridge 3,Fridge 3,,Trimethylsilylacetylene,,,,Qiang Zhu (qzhu),I,,,T1239,,,25ml,25,ml,,25,,ml,Danger,,Liquid,,,,3,,,1993,,98.22100067,"InChI=1S/C5H10Si/c1-5-6(2,3)4/h1H,2-4H3",66111,,,,,,,,,,,,,,
,9237,Aldrich,Materials Innovation Factory,1066-54-2,,13/11/2019,,Cooper Group,"Skin corrosion/irritation (Category 1);Flammable liquids (Category 2);Acute toxicity, Oral (Category 3);Acute toxicity, Dermal (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3)",,H225;H301;H312;H314;H315;H319;H331,GHS_02;GHS_05;GHS_06,Synthetic Laboratory,Fridge 3,Fridge 3,,Ethynyltrimethylsilane,,,,Haofan Yang (hyang),I,,,218170-5G,,,5g,5,g,,5,,g,Danger,,,,,,3,,,1993,,98.22100067,"InChI=1S/C5H10Si/c1-5-6(2,3)4/h1H,2-4H3",66111,,,,,,,,,,,,,,
,11093,Sigma-Aldrich,Materials Innovation Factory,107-06-2,,20/10/2021,,Cooper Group,"Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3);Specific target organ toxicity - single exposure (Category 3, H335);Carcinogenicity (Category 1B)",,H225;H302;H315;H319;H331;H335;H350,GHS_02;GHS_06;GHS_08,Synthetic Laboratory,FC14 Solvents,FC14 Solvents,SHBG5649V,"1,2-Dichloroethane",Flammability: 3; Health: 2; Instability/reactivity: 0,,,Yue Wu (ywu),II,,P201;P210;P280;P308 + P313;P370 + P378;P403 + P235,284505,,99.8%,1000 ml,1000,ml,,1000,,ml,Danger,,Liquid,ROOM,,,3,6.1,,1184,,98.95999908,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,11,,,,,,,,,,,,,,
,11255,Acros Organics,Materials Innovation Factory,107-06-2,,20/10/2021,,Cooper Group,"Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3);Specific target organ toxicity - single exposure (Category 3, H335);Specific target organ toxicity - single exposure (Category 3, H336);Carcinogenicity (Category 1B)",,H225;H302;H315;H319;H331;H335;H336;H350,GHS_02;GHS_06;GHS_08,Synthetic Laboratory,FC28 (White cupboard),FC28 (White cupboard),2185855,"1,2-Dichloroethane, 99.5%, Extra Dry over Molecular Sieve, AcroSeal",,,,Alex James (amjames),II,,P210;P280;P302 + P352;P304 + P340;P305 + P351 + P338;P311;P362,44301,,0.005%,100 ml,100,ml,,100,,ml,Danger,,Liquid,ROOM,,,3,,,1184,,98.96,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,11,"1,2-dichloroethane",,107-06-2,             Ethylene dichloride          ,,,,,,,,,,
,11056,Sigma-Aldrich,Materials Innovation Factory,107-06-2,,20/10/2021,,Cooper Group,"Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3);Specific target organ toxicity - single exposure (Category 3, H335);Carcinogenicity (Category 1B)",,H225;H302;H315;H319;H331;H335;H350,GHS_02;GHS_06;GHS_08,Synthetic Laboratory,FC14 Solvents,FC14 Solvents,,"1,2-Dichloroethane",Flammability: 3; Health: 2; Instability/reactivity: 0,,,Ying Yang (ying yang),II,,P201;P210;P280;P308 + P313;P370 + P378;P403 + P235,284505,,99.8%,100 mL,100,ml,100 ml,100,100,ml,Danger,,Liquid,ROOM,,,3,6.1,,1184,,98.95999908,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,11,,,,,,,,,,,,,,
,11098,Sigma-Aldrich,Materials Innovation Factory,107-06-2,,20/10/2021,,Cooper Group,"Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3);Specific target organ toxicity - single exposure (Category 3, H335);Carcinogenicity (Category 1B)",,H225;H302;H315;H319;H331;H335;H350,GHS_02;GHS_06;GHS_08,Synthetic Laboratory,FC14 Solvents,FC14 Solvents,SHBC8131V,"1,2-Dichloroethane",Flammability: 3; Health: 2; Instability/reactivity: 0,,,Yue Wu (ywu),II,,P201;P210;P280;P308 + P313;P370 + P378;P403 + P235,284505,,99.8%,1000 ml,1000,ml,,1000,,ml,Danger,,Liquid,ROOM,,,3,6.1,,1184,,98.95999908,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,11,,,,,,,,,,,,,,
,7765,Sigald,Materials Innovation Factory,107-06-2,,17/08/2018,,Cooper Group,"Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3);Specific target organ toxicity - single exposure (Category 3, H335);Carcinogenicity (Category 1B)",,H225;H302;H315;H319;H331;H335;H350,GHS_02;GHS_06;GHS_08,Synthetic Laboratory,Highly Toxic Chemicals,Highly Toxic Chemicals,,"1,2-Dichloroethane",Flammability: 3; Health: 2; Instability/reactivity: 0,,,Marc Little (malittle),II,,P201;P210;P280;P308 + P313;P370 + P378;P403 + P235,319929,,99%,2.5 l,2.5,l,,2500,,ml,Danger,,Liquid,ROOM,,,3,6.1,,1184,,98.95999908,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,11,,,,,,,,,,,,,,
,3823,Sigma-Aldrich,Materials Innovation Factory,107-06-2,,24/08/2018,,Cooper Group,"Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3);Specific target organ toxicity - single exposure (Category 3, H335);Carcinogenicity (Category 1B)",,H225;H302;H315;H319;H331;H335;H350,GHS_02;GHS_06;GHS_08,Synthetic Laboratory,FC11 (White cupboard),FC11 (White cupboard),,"1,2-Dichloroethane",Flammability: 3; Health: 2; Instability/reactivity: 0,,,Hui Gao (hgao),II,,P201;P210;P280;P308 + P313;P370 + P378;P403 + P235,284505,,99.8%,1 l,1,l,,1000,,ml,Danger,,Liquid,ROOM,,,3,6.1,,1184,,98.95999908,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,11,,,,,,,,,,,,,,
,3824,Sigma-Aldrich,Materials Innovation Factory,107-06-2,,24/08/2018,,Cooper Group,"Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3);Specific target organ toxicity - single exposure (Category 3, H335);Carcinogenicity (Category 1B)",,H225;H302;H315;H319;H331;H335;H350,GHS_02;GHS_06;GHS_08,Synthetic Laboratory,FC11 (White cupboard),FC11 (White cupboard),,"1,2-Dichloroethane",Flammability: 3; Health: 2; Instability/reactivity: 0,,,Hui Gao (hgao),II,,P201;P210;P280;P308 + P313;P370 + P378;P403 + P235,284505,,99.8%,1 l,1,l,,1000,,ml,Danger,,Liquid,ROOM,,,3,6.1,,1184,,98.95999908,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,11,,,,,,,,,,,,,,
,7918,Aldrich,Materials Innovation Factory,107-06-2,,31/10/2018,,Cooper Group,"Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3);Specific target organ toxicity - single exposure (Category 3, H335);Carcinogenicity (Category 1B)",,H225;H302;H315;H319;H331;H335;H350,GHS_02;GHS_06;GHS_08,Synthetic Laboratory,FC24 (White cupboard),FC24 (White cupboard),SHB5844,"1,2-Dichloroethane",Flammability: 3; Health: 2; Instability/reactivity: 0,,,Rob Clowes (rob123),II,,P201;P210;P280;P308 + P313;P370 + P378;P403 + P235,284505,,99.8%,1L,1,l,,1000,,ml,Danger,,Liquid,ROOM,,,3,6.1,,1184,,98.95999908,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,11,,,,,,,,,,,,,,
,7919,Aldrich,Materials Innovation Factory,107-06-2,,31/10/2018,,Cooper Group,"Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3);Specific target organ toxicity - single exposure (Category 3, H335);Carcinogenicity (Category 1B)",,H225;H302;H315;H319;H331;H335;H350,GHS_02;GHS_06;GHS_08,Synthetic Laboratory,FC24 (White cupboard),FC24 (White cupboard),SHBJ5644,"1,2-Dichloroethane",Flammability: 3; Health: 2; Instability/reactivity: 0,,,Rob Clowes (rob123),II,,P201;P210;P280;P308 + P313;P370 + P378;P403 + P235,284505,,99.8%,1L,1,l,,1000,,ml,Danger,,Liquid,ROOM,,,3,6.1,,1184,,98.95999908,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,11,,,,,,,,,,,,,,
,8787,Aldrich,Materials Innovation Factory,107-06-2,,13/06/2019,,Cooper Group,"Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3);Specific target organ toxicity - single exposure (Category 3, H335);Carcinogenicity (Category 1B)",,H225;H302;H315;H319;H331;H335;H350,GHS_02;GHS_06;GHS_08,Synthetic Laboratory,FC25 (White cupboard),FC25 (White cupboard),SHBK1,"1,2-Dichloroethane",Flammability: 3; Health: 2; Instability/reactivity: 0,,,Andrew Marsh (smarsh),II,,P201;P210;P280;P308 + P313;P370 + P378;P403 + P235,284505,,99.8%,100 ml,100,ml,,100,,ml,Danger,,Liquid,ROOM,,,3,6.1,,1184,,98.95999908,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,11,,,,,,,,,,,,,,
,3138,Aldrich,Materials Innovation Factory,107-10-8,,17/11/2017,,Cooper Group,"Hazardous to the aquatic environment, long-term (chronic), (Category 3);Skin corrosion/irritation (Category 1);Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Acute toxicity, Dermal (Category 3);Acute toxicity, Inhalation (Category 3)",,H225;H302;H311;H314;H331;H412,GHS_02;GHS_05;GHS_06,Synthetic Laboratory,Fridge 3,Fridge 3,,Propylamine,Flammability: 0; Health: 3; Instability/reactivity: 0,,,Marc Little (malittle),II,,,240958-5oml,,,50 ml,50,ml,,50,,ml,Danger,,,FRIDGE,,,3,8,,1277,,59.11199951,"InChI=1S/C3H9N/c1-2-3-4/h2-4H2,1H3",7852,,,,,,,,,,,,,,
,10561,Sigma-Aldrich,Materials Innovation Factory,107-13-1,,19/10/2021,19/10/2022,Cooper Group,"Flammable liquids (Category 2);Acute toxicity, Oral (Category 3);Acute toxicity, Dermal (Category 3);Skin corrosion/irritation (Category 2);Skin sensitisation (Category 1);Eye irritation (Category 1);Acute toxicity, Inhalation (Category 3);Specific target organ toxicity - single exposure (Category 3, H335);Carcinogenicity (Category 1B);Reproductive toxicity (Category 2);Hazardous to the aquatic environment, short-term (acute), (Category 2);Hazardous to the aquatic environment, long-term (chronic), (Category 2)",,H225;H301;H311;H315;H317;H318;H331;H335;H350;H361;H411,GHS_02;GHS_05;GHS_06;GHS_08;GHS_09,Synthetic Laboratory,Box 1,Fridge 1 > Box 1,,Acrylonitrile,,,,Marc Little (malittle),I,,P201;P202;P210;P233;P240;P241;P242;P243;P261;P264;P270;P271;P272;P273;P280;P303 + P361 + P353;P308 + P313;P310;P311;P330;P333 + P313;P362;P370 + P378;P391;P403 + P233;P403 + P235;P405;P501,31564,,,5 ml,5,ml,,5,,ml,Danger,,Liquid,,,,3,,,1093,,53.06,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2",7855,prop-2-enenitrile,,,,,,,,,,,,,
,3503,Sigma-Aldrich,Materials Innovation Factory,107-15-3,,20/10/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,FC10 Solvents,FC10 Solvents,,Ethylenediamine,Flammability: 2; Health: 3; Instability/reactivity: 0,,,Marc Little (malittle),II,,,E26266,,99,1l,1,l,1l,1000,1000,ml,,,Liquid,ROOM,,,8,3,,1604,,60.09999847,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,3301,,,,,,,,,,,,,,
,6302,Sigma-Aldrich,Materials Innovation Factory,107-15-3,,26/10/2017,,Cooper Group,"Hazardous to the aquatic environment, long-term (chronic), (Category 3);Skin corrosion/irritation (Category 1B);Flammable liquids (Category 3);Acute toxicity, Oral (Category 4);Acute toxicity, Dermal (Category 3);Skin sensitisation (Category 1);Acute toxicity, Inhalation (Category 4);Respiratory sensitisation (Category 1)",,H226;H302;H311;H314;H317;H332;H334;H412,GHS_02;GHS_05;GHS_06;GHS_08,Synthetic Laboratory,Fridge 3,Fridge 3,STBG3744V,Ethylenediamine,Flammability: 2; Health: 3; Instability/reactivity: 0,,,Qiang Zhu (qzhu),II,,P261;P273;P280;P305 + P351 + P338;P310,03550-250ML,,,250 ml,250,ml,,250,,ml,Danger,,Liquid,ROOM,,,8,3,,1604,,60.09999847,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,3301,,,,,,,,,,,,,,
,6972,Sigma-Aldrich,Materials Innovation Factory,107-15-3,,17/11/2017,,Cooper Group,"Flammable liquids (Category 3);Acute toxicity, Oral (Category 4);Acute toxicity, Dermal (Category 3);Acute toxicity, Dermal (Category 4);Skin corrosion/irritation (Category 1);Skin sensitisation (Category 1);Acute toxicity, Inhalation (Category 4);Respiratory sensitisation (Category 1);Hazardous to the aquatic environment, long-term (chronic), (Category 3)",,H226;H302;H311;H312;H314;H317;H332;H334;H412,GHS_02;GHS_05;GHS_06;GHS_08,Synthetic Laboratory,Bases FC10,Bases FC10,,Ethylenediamine,Flammability: 2; Health: 3; Instability/reactivity: 0,,,Marc Little (malittle),II,,,e26266-100ml,,,100 ml,100,ml,,100,,ml,Danger,,,ROOM,,,8,3,,1604,,60.09999847,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,3301,,,,,,,,,,,,,,
,7090,Aldrich,Materials Innovation Factory,107-15-3,,17/11/2017,,Cooper Group,"Hazardous to the aquatic environment, long-term (chronic), (Category 3);Skin corrosion/irritation (Category 1);Flammable liquids (Category 3);Acute toxicity, Oral (Category 4);Acute toxicity, Dermal (Category 3);Skin sensitisation (Category 1);Acute toxicity, Inhalation (Category 4);Respiratory sensitisation (Category 1)",,H226;H302;H311;H314;H317;H332;H334;H412,GHS_02;GHS_05;GHS_06;GHS_08,Synthetic Laboratory,Fridge 3,Fridge 3,,Etylenediamine,Flammability: 2; Health: 3; Instability/reactivity: 0,,,Veronica Del Angel Hernandez (v.del-angel-hernandez),II,,,03550,,,250ml,250,ml,,250,,ml,Danger,,,,,,8,3,,1604,,60.09999847,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,3301,,,,,,,,,,,,,,
,3154,Aldrich,Materials Innovation Factory,107-19-7,,17/11/2017,,Cooper Group,"Hazardous to the aquatic environment, long-term (chronic), (Category 2);Skin corrosion/irritation (Category 1);Flammable liquids (Category 3);Acute toxicity, Oral (Category 3);Acute toxicity, Dermal (Category 3);Acute toxicity, Inhalation (Category 3)",,H226;H301;H311;H314;H331;H411,GHS_02;GHS_05;GHS_06;GHS_09,Synthetic Laboratory,Fridge 3,Fridge 3,,Propargyl alcohol,Flammability: 3; Health: 4; Instability/reactivity: 3,,,Marc Little (malittle),I,,,p50803-250ml,,,250 ml,250,ml,,250,,ml,Danger,,,FRIDGE,,,6.1,3,,2929,,56.06399918,"InChI=1S/C3H4O/c1-2-3-4/h1,4H,3H2",7859,,,,,,,,,,,,,,
,3121,Aldrich,Materials Innovation Factory,107-20-0,,17/11/2017,,Cooper Group,"Hazardous to the aquatic environment, short-term (acute), (Category 1);Skin corrosion/irritation (Category 1);Acute toxicity, Oral (Category 3);Acute toxicity, Dermal (Category 1);Acute toxicity, Inhalation (Category 1);Specific target organ toxicity - single exposure (Category 3, H335);Carcinogenicity (Category 2)",,H301;H310;H314;H330;H335;H351;H400,GHS_05;GHS_06;GHS_08;GHS_09,Synthetic Laboratory,Fridge 3,Fridge 3,,Chloroacetaldehyde solution,Flammability: 2; Health: 3; Instability/reactivity: 0,,,Marc Little (malittle),I,,,317276-5ml,,,5 ml,5,ml,,5,,ml,Danger,,,,,,6.1,,,2232,,78.4980011,"InChI=1S/C2H3ClO/c3-1-2-4/h2H,1H2",33,,,,,,,,,,,,,,
,11206,Sigma-Aldrich,Materials Innovation Factory,107-21-1,,20/10/2021,,Cooper Group,"Specific target organ toxicity - repeated exposure (Category 2);Acute toxicity, Oral (Category 4)",,H302;H373,GHS_07;GHS_08,Synthetic Laboratory,FC12 Solvents,FC12 Solvents,,Ethylene glycol,,,,Thomas Fellowes (thomas.fellows),III,,P260;P264;P270;P314;P330;P501,293237,,,1000 ml,1000,ml,,1000,,ml,Warning,,Liquid,,,,9,,,3082,,62.07,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",174,"ethane-1,2-diol",,,,,,,,,,,,,
,10861,Sigma-Aldrich,Materials Innovation Factory,107-21-1,,19/10/2021,,Cooper Group,"Specific target organ toxicity - repeated exposure (Category 2);Acute toxicity, Oral (Category 4)",,H302;H373,GHS_07;GHS_08,Synthetic Laboratory,Box 12,Cupboard 4 > Box 12,,Ethylene glycol,,,,Thomas Fellowes (thomas.fellows),,,P314;P330,102466,,,500 ml,500,ml,500 ml,500,500,ml,Warning,,Liquid,,,,,,,,,62.06800079,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",174,,,,,,,,,,,,,,
,11359,Alfa Aesar,Materials Innovation Factory,107-21-1,,21/10/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,FC09 (White cupboard),FC09 (White cupboard),10229302,Ethylene glycol,Flammability: 1; Health: 2; Instability/reactivity: 0,,,Xue Wang (xwang),,,,A11591,,99%,500 mL,500,ml,,500,,ml,,,,ROOM,,,,,,0,,62.06800079,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",174,,,,,,,,,,,,,,
,4415,Sigma-Aldrich,Materials Innovation Factory,107-21-1,,19/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,FC21 (White cupboard),FC21 (White cupboard),SHBF098TV,Ethylene glycol,Flammability: 1; Health: 2; Instability/reactivity: 0,,,Marc Little (malittle),,,,324558-100ML,,99,100 ml,100,ml,,100,,ml,,,Liquid,ROOM,,,,,,0,,62.06800079,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",174,,,,,,,,,,,,,,
,6564,Alfa Aesar,Materials Innovation Factory,107-21-1,,02/11/2017,,Cooper Group,No data available,,,,Crystallisation Laboratory,Solvent cabinet,Solvent cabinet,10208834,"Ethylene glycol, 99%",Flammability: 1; Health: 2; Instability/reactivity: 0,,,Qiang Zhu (qzhu),,,,A11591,,99%,500 g,500,g,,500,,g,,,,ROOM,,,,,,0,,62.06800079,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",174,,,,,,,,,,,,,,
,3350,Alfa Aesar,Materials Innovation Factory,107-21-1,,19/03/2018,,Cooper Group,No data available,,,,Synthetic Laboratory,FC30 (White Cupboard),FC30 (White Cupboard),10209424,Ethylene glycol,Flammability: 1; Health: 2; Instability/reactivity: 0,,,Michael Brand (mbrand),,,,A11591,,99%,500 g,500,g,,500,,g,,,,ROOM,,,,,,0,,62.06800079,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",174,,,,,,,,,,,,,,
,3351,Alfa Aesar,Materials Innovation Factory,107-21-1,,19/03/2018,,Cooper Group,No data available,,,,Synthetic Laboratory,FC07 (White cupboard),FC07 (White cupboard),10209424,Ethylene glycol,Flammability: 1; Health: 2; Instability/reactivity: 0,,,Marc Little (malittle),,,,A11591,,99%,500 g,500,g,,500,,g,,,,ROOM,,,,,,0,,62.06800079,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",174,,,,,,,,,,,,,,
,9626,Alfa Aesar,Materials Innovation Factory,107-21-1,,06/03/2020,,Cooper Group,No data available,,,,Chromatography Laboratory,default,default,,Ethylene glycol,,,,Xue Wang (xwang),,,,A11591-500g,,,500g,500,g,,500,,g,,,,,fc6,,,,,,,62.06800079,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",174,,,,,,,,,,,,,,
,9627,Alfa Aesar,Materials Innovation Factory,107-21-1,,06/03/2020,,Cooper Group,No data available,,,,Chromatography Laboratory,default,default,,Ethylene glycol,,,,Xue Wang (xwang),,,,A11591-500g,,,500g,500,g,,500,,g,,,,,FC6,,,,,,,62.06800079,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",174,,,,,,,,,,,,,,
,4727,Sigma-Aldrich,Materials Innovation Factory,107-22-2,,16/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 3,Cupboard 7 > Box 3,,Glyoxal solution,,,,Alex James (amjames),III,,,128465,,,100 g,100,g,,100,,g,,,Liquid,FRIDGE,,,6.1,,,2810,,58.0359993,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,7860,,,,,,,,,,,,,,
,7165,Aldrich,Materials Innovation Factory,107-30-2,,19/12/2017,,Cooper Group,"Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Acute toxicity, Dermal (Category 4);Acute toxicity, Inhalation (Category 4);Carcinogenicity (Category 1A)",,H225;H302;H312;H332;H350,GHS_02;GHS_07;GHS_08,Synthetic Laboratory,Fridge 4,Fridge 4,,Chloromethyl methyl ether,Flammability: 3; Health: 3; Instability/reactivity: 2,,,Marc Little (malittle),I,,P201;P210;P280;P308 + P313;P370 + P378;P403 + P235,100331-100G,,,100 g,100,g,,100,,g,Danger,,Liquid,FRIDGE,,,6.1,3,,1239,,80.51399994,"InChI=1S/C2H5ClO/c1-4-2-3/h2H2,1H3",7864,,,,,,,,,,,,,,
,10252,Sigma-Aldrich,Materials Innovation Factory,107-31-3,,19/10/2021,,Cooper Group,"Specific target organ toxicity - single exposure (Category 1);Flammable liquids (Category 1);Acute toxicity, Oral (Category 3);Acute toxicity, Dermal (Category 3);Serious eye damage/eye irritation (Category 2);Acute toxicity, Inhalation (Category 3);Specific target organ toxicity - single exposure (Category 3, H335)",,H224;H301;H311;H319;H331;H335;H370,GHS_02;GHS_06;GHS_08,Synthetic Laboratory,FC09 Solvents,FC09 Solvents,,Methyl formate,,,,Thomas Fellowes (thomas.fellows),I,,P210;P280;P311;P312;P330;P403 + P233,291056,,99%,1000 ml,1000,ml,,1000,,ml,Danger,,Liquid,,,,3,,,1243,,60.05,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",7865,methyl formate,,,,,,,,,,,,,
,5253,SIGMA,Materials Innovation Factory,107-41-5,,12/10/2017,,Cooper Group,Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2),,H315;H319,GHS_07,Synthetic Laboratory,Box 5,Cupboard 7 > Box 5,,Hexylene glycol,Flammability: 1; Health: 2; Instability/reactivity: 0,,,Alex James (amjames),,,,M9671-10G,,,10 g,10,g,,10,,g,Warning,,,ROOM,,,,,,0,,118.1760025,"InChI=1S/C6H14O2/c1-5(7)4-6(2,3)8/h5,7-8H,4H2,1-3H3",7870,,,,,,,,,,,,,,
,5515,Aldrich,Materials Innovation Factory,107-81-3,,12/10/2017,,Cooper Group,"Hazardous to the aquatic environment, long-term (chronic), (Category 2);Flammable liquids (Category 2);Skin corrosion/irritation (Category 2)",,H225;H315;H411,GHS_02;GHS_07;GHS_09,Synthetic Laboratory,Box 11,Cupboard 2 > Box 11,,2-Bromopentane,,,,Thomas Fellowes (thomas.fellows),,,,B75204-100G,,,100 g,100,g,,100,,g,Danger,,,ROOM,,,,,,2343,,151.0469971,"InChI=1S/C5H11Br/c1-3-4-5(2)6/h5H,3-4H2,1-2H3",7890,,,,,,,,,,,,,,
,4458,Aldrich,Materials Innovation Factory,107-82-4,,19/10/2017,,Cooper Group,"Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H335)",,H225;H302;H315;H335,GHS_02;GHS_07,Synthetic Laboratory,Fridge 4,Fridge 4,,1-Bromo-3-methylbutane,,,,Marc Little (malittle),,,,124095-100G,,,100 g,100,g,,100,,g,Danger,,,FRIDGE,,,,,,2341,,151.0469971,"InChI=1S/C5H11Br/c1-5(2)3-4-6/h5H,3-4H2,1-2H3",7891,,,,,,,,,,,,,,
,5279,Aldrich,Materials Innovation Factory,107-83-5,,12/10/2017,,Cooper Group,"Hazardous to the aquatic environment, long-term (chronic), (Category 2);Flammable liquids (Category 2);Aspiration hazard (Category 1);Skin corrosion/irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H336)",,H225;H304;H315;H336;H411,GHS_02;GHS_07;GHS_08;GHS_09,Synthetic Laboratory,Box 11,Cupboard 7 > Box 11,,2-Methylpentane,Flammability: 3; Health: 1; Instability/reactivity: 0,,,Alex James (amjames),,,,M65807-100G,,,100 g,100,g,,100,,g,Danger,,,ROOM,,,,,,1208,,86.1780014,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",7892,,,,,,,,,,,,,,
